index wiyn_id ra_hr ra_min ra.sec deg deg_min deg_sec ra_dec deg_dec wiyn_fiber z K H J Y Z I G zcos zdei zwiyn nb
1 cosmos_nb_b_0001 10 1 33.72 1 29 53.3 150.3905 1.4981389999999999 m1_3 0.832 0.0 0.0 0.0 0.0 0 0 0 0.0 0.0 0.0 0.0
2 cosmos_nb_b_0002 10 1 51.7 1 33 44.1 150.4654 1.56225 m1_19 ? 0.0 0.0 0.0 23.78 23.99 24.31 26.12 -3.0 -1.0 -3.0 22.96
3 cosmos_nb_b_0003 10 1 5.07 1 33 46.9 150.2711 1.563028 m1_16 ? 0.0 0.0 0.0 24.77 24.16 24.84 25.69 -3.0 -1.0 -3.0 22.76
4 cosmos_nb_b_0004 10 0 54.96 1 34 52.9 150.229 1.581361 m1_46 0.837 0.0 0.0 0.0 23.83 22.98 23.92 24.76 -3.0 -1.0 -3.0 21.9
5 cosmos_nb_b_0005 10 0 31.15 1 31 24.3 150.1298 1.523417 m1_57 0.84 0.0 0.0 0.0 0.0 0 0 0 0.0 0.0 0.0 0.0
6 cosmos_nb_b_0006 10 0 34.66 1 36 16.3 150.1444 1.6045280000000002 m1_34 ? 0.0 0.0 0.0 24.95 25.34 25.32 29.31 -3.0 -1.0 -3.0 22.82
7 cosmos_nb_b_0007 9 59 0.99 1 32 57.1 149.7541 1.549194 x x 0.0 0.0 0.0 0.0 0 0 0 0.0 0.0 0.0 0.0
8 cosmos_nb_b_0008 10 0 52.81 1 37 8.0 150.22 1.618889 m1_41 ? 0.0 0.0 0.0 24.26 23.64 24.56 25.19 -3.0 -1.0 -3.0 22.6
9 cosmos_nb_b_0009 10 0 29.57 1 40 5.6 150.1232 1.668222 m1_71 0.838 0.0 0.0 0.0 25.22 23.34 24.73 25.22 -3.0 -1.0 -3.0 22.06
10 cosmos_nb_b_0010 10 0 5.27 1 44 35.2 150.022 1.743111 m1_36 0.833 0.0 0.0 0.0 24.60 23.42 24.64 24.95 -3.0 -1.0 -3.0 22.26
11 cosmos_nb_b_0011 9 59 22.62 1 39 46.3 149.8442 1.6628610000000001 m1_42 ? 0.0 0.0 0.0 26.25 27.20 28.37 ***** -3.0 0.0 -3.0 22.4
12 cosmos_nb_b_0012 10 2 46.17 1 51 33.4 150.6924 1.859278 m1_2 ? 0.0 0.0 0.0 0.0 0 0 0 0.0 0.0 0.0 0.0
13 cosmos_nb_b_0013 10 1 38.35 1 48 54.3 150.4098 1.8150830000000002 m1_61 0.837 0.0 0.0 0.0 24.33 23.48 24.47 25.12 -3.0 -1.0 -3.0 22.32
14 cosmos_nb_b_0014 10 1 34.12 1 56 32.4 150.3922 1.942333 m1_37 ? 0.0 0.0 0.0 25.35 24.11 25.09 25.79 -3.0 -1.0 -3.0 22.88
15 cosmos_nb_b_0015 10 1 19.46 1 52 47.2 150.3311 1.879778 m1_73 0.838 0.0 0.0 0.0 22.06 21.34 22.11 22.70 0.8386 0.8388 0.8365 20.21
16 cosmos_nb_b_0016 10 0 57.65 1 54 31.4 150.2402 1.908722 m1_24 ? 0.0 0.0 0.0 25.35 23.55 25.07 25.38 -3.0 -1.0 -3.0 22.19
